info,num_bathroom,title,url,price,pid,num_bedroom,pid1,latitude,longitude,date,pid2
"
                    360ft, -
                ",,CALL ALBANY COURT TODAY!,https://corvallis.craigslist.org/apa/6027102000.html,$560,6027102000,,,,,Mar  2,
"
                    2br -
                ",,$425-1BD available in 2bd/1ba ~ close to OSU,https://corvallis.craigslist.org/apa/6027101818.html,$425,6027101818,,,,,Mar  2,
"
                    1br -
                    634ft, -
                ",,STOP LOOKING--THIS IS IT!!!,https://corvallis.craigslist.org/apa/6027037257.html,$915,6027037257,,,,,Mar  2,
"
                    2br -
                    998ft, -
                ",,"2 story, 2 bdm condo",https://corvallis.craigslist.org/apa/5988846182.html,$1200,5988846182,,,,,Mar  2,
"
                    2br -
                ",,2 bedrooms at The Retreat in Corvallis,https://corvallis.craigslist.org/apa/5988099704.html,$1500,5988099704,,,,,Mar  2,
"
                    2br -
                    925ft, -
                ",,➔➔➔WOW! My own yard for my dog?!❤,https://corvallis.craigslist.org/apa/6026977049.html,$1175,6026977049,,,,,Mar  2,
"
                    2br -
                    981ft, -
                ",,2 Bed / 2 Bath Maple Available Next Week!!!!,https://corvallis.craigslist.org/apa/6026966307.html,$1425,6026966307,,,,,Mar  2,
"
                    2br -
                    925ft, -
                ",,☺Best Price of the YEAR! Just $1175 *limited time..garage! yard!,https://corvallis.craigslist.org/apa/6026962549.html,$1175,6026962549,,,,,Mar  2,
"
                    2br -
                    1029ft, -
                ",,RAKE IN THE SAVINGS AT THE LODGES - TAX SPECIAL ONLY FOR A SHORT TIME!,https://corvallis.craigslist.org/apa/6026931967.html,$1195,6026931967,,,,,Mar  2,
,,Wait List NOW Open at StoneBrook Apartments!!,https://corvallis.craigslist.org/apa/6026858250.html,$576,6026858250,,,,,Mar  2,
"
                    1br -
                    560ft, -
                ",,"Our Rent Includes Water, Sewer, and Trash*$25 Pet Rent",https://corvallis.craigslist.org/apa/6026851558.html,$835,6026851558,,,,,Mar  2,
,,WAIT LIST NOW Open at Linn Haven Apartments!!,https://corvallis.craigslist.org/apa/6026814772.html,$754,6026814772,,,,,Mar  2,
"
                    2br -
                    961ft, -
                ",,2 Bed / 2 Bath Available NEXT WEEK! RESERVE NOW!!,https://corvallis.craigslist.org/apa/6026792913.html,$1350,6026792913,,,,,Mar  2,
"
                    3br -
                    1147ft, -
                ",,ONE MONTH FREE RENT!!! 3 Bed / 2 Bath,https://corvallis.craigslist.org/apa/6026695221.html,$1625,6026695221,,,,,Mar  2,
"
                    1br -
                    952ft, -
                ",,DON'T MISS OUR TAX SEASON SPECIAL AT THE LODGES!,https://corvallis.craigslist.org/apa/6026612862.html,$1000,6026612862,,,,,Mar  2,
"
                    2br -
                ",,2 Bedroom Condo in Corvallis,https://corvallis.craigslist.org/apa/5992139861.html,$1695,5992139861,,,,,Mar  2,
"
                    1br -
                    634ft, -
                ",,Looking to Move in April? We've Got the Perfect Place for You!,https://corvallis.craigslist.org/apa/6026503235.html,$900,6026503235,,,,,Mar  2,
"
                    2br -
                    950ft, -
                ",,"Lease Today, Spacious, Basketball Court",https://corvallis.craigslist.org/apa/6026440149.html,$999,6026440149,,,,,Mar  2,
"
                    1br -
                    750ft, -
                ",,1 Bedroom Apartment NEXT DOOR TO OSU CAMPUS  SECURE,https://corvallis.craigslist.org/apa/5988501440.html,$1250,5988501440,,,,,Mar  2,
